iter	Passed	Remaining
0	138	138781
1	140	69912
2	141	46909
3	142	35382
4	143	28479
5	144	23886
6	145	20603
7	146	18136
8	147	16208
9	148	14662
10	149	13397
11	149	12348
12	150	11456
13	151	10696
14	152	10035
15	153	9457
16	154	8948
17	155	8492
18	156	8083
19	157	7720
20	158	7392
21	159	7096
22	160	6822
23	161	6572
24	162	6340
25	163	6127
26	164	5928
27	165	5743
28	166	5571
29	167	5410
30	168	5259
31	169	5116
32	170	4982
33	171	4858
34	171	4740
35	172	4629
36	173	4522
37	174	4424
38	175	4330
39	176	4242
40	177	4160
41	178	4079
42	179	4003
43	180	3930
44	181	3861
45	182	3794
46	183	3730
47	184	3667
48	185	3608
49	186	3552
50	187	3497
51	188	3445
52	189	3394
53	190	3343
54	191	3297
55	192	3253
56	194	3211
57	195	3170
58	196	3130
59	197	3089
60	198	3049
61	199	3011
62	200	2975
63	201	2940
64	202	2906
65	203	2873
66	204	2842
67	204	2805
68	205	2774
69	206	2745
70	207	2715
71	208	2686
72	209	2657
73	210	2630
74	211	2603
75	212	2577
76	212	2552
77	213	2527
78	214	2503
79	215	2479
80	216	2455
81	217	2433
82	218	2412
83	219	2390
84	219	2367
85	220	2347
86	221	2324
87	222	2306
88	223	2288
89	224	2270
90	225	2252
91	226	2237
92	228	2223
93	229	2210
94	230	2196
95	231	2183
96	233	2170
97	234	2155
98	235	2140
99	236	2126
100	237	2111
101	237	2093
102	238	2078
103	239	2064
104	240	2050
105	241	2036
106	242	2023
107	243	2011
108	244	1998
109	245	1986
110	246	1974
111	247	1962
112	248	1950
113	249	1938
114	250	1927
115	251	1915
116	252	1904
117	253	1892
118	253	1880
119	254	1869
120	255	1858
121	256	1847
122	257	1834
123	258	1824
124	259	1814
125	260	1804
126	261	1795
127	261	1783
128	262	1773
129	263	1764
130	264	1756
131	265	1746
132	266	1738
133	267	1729
134	268	1722
135	269	1714
136	270	1705
137	271	1696
138	272	1688
139	273	1680
140	274	1672
141	275	1664
142	276	1656
143	277	1648
144	278	1641
145	279	1634
146	280	1627
147	281	1619
148	282	1612
149	283	1605
150	284	1598
151	285	1591
152	286	1583
153	287	1577
154	288	1570
155	289	1563
156	289	1557
157	291	1550
158	291	1544
159	292	1537
160	293	1531
161	294	1525
162	295	1519
163	296	1512
164	297	1507
165	298	1501
166	299	1496
167	300	1489
168	301	1484
169	302	1478
170	303	1472
171	304	1467
172	305	1461
173	306	1455
174	307	1450
175	308	1445
176	309	1440
177	310	1434
178	311	1430
179	312	1425
180	313	1417
181	314	1412
182	315	1407
183	316	1402
184	317	1397
185	318	1392
186	319	1386
187	319	1382
188	320	1377
189	321	1372
190	322	1367
191	323	1363
192	324	1358
193	326	1354
194	327	1350
195	328	1346
196	329	1342
197	330	1337
198	331	1333
199	332	1328
200	333	1324
201	334	1320
202	335	1316
203	336	1311
204	337	1307
205	338	1303
206	339	1299
207	340	1295
208	341	1291
209	342	1286
210	343	1282
211	344	1278
212	345	1274
213	346	1270
214	347	1267
215	348	1263
216	349	1259
217	349	1255
218	351	1251
219	352	1248
220	353	1244
221	356	1249
222	357	1246
223	358	1243
224	359	1239
225	361	1237
226	362	1233
227	363	1230
228	364	1227
229	365	1224
230	366	1220
231	367	1217
232	368	1213
233	369	1210
234	370	1207
235	371	1203
236	372	1200
237	373	1196
238	374	1193
239	375	1190
240	376	1186
241	377	1183
242	378	1180
243	379	1176
244	380	1173
245	382	1171
246	383	1168
247	384	1165
248	385	1162
249	386	1159
250	387	1156
251	388	1152
252	389	1149
253	390	1147
254	391	1144
255	392	1141
256	394	1139
257	395	1136
258	396	1133
259	397	1130
260	398	1127
261	399	1124
262	400	1121
263	401	1118
264	402	1116
265	403	1113
266	404	1110
267	405	1108
268	406	1105
269	407	1102
270	408	1100
271	409	1097
272	411	1094
273	412	1092
274	413	1089
275	414	1086
276	415	1084
277	416	1081
278	417	1078
279	418	1075
280	419	1073
281	420	1071
282	421	1068
283	422	1065
284	423	1062
285	424	1059
286	425	1056
287	426	1053
288	427	1051
289	428	1048
290	429	1046
291	430	1043
292	431	1041
293	432	1038
294	433	1036
295	434	1033
296	435	1030
297	436	1028
298	437	1025
299	438	1022
300	439	1020
301	440	1017
302	441	1014
303	442	1012
304	443	1009
305	444	1007
306	445	1004
307	446	1002
308	446	999
309	448	997
310	449	994
311	449	992
312	451	989
313	451	987
314	452	984
315	453	982
316	454	980
317	455	977
318	456	975
319	457	972
320	458	970
321	459	968
322	460	965
323	461	963
324	462	960
325	463	958
326	464	956
327	465	953
328	466	951
329	467	949
330	468	946
331	469	944
332	470	942
333	471	940
334	472	937
335	473	935
336	474	933
337	475	931
338	476	928
339	477	926
340	478	924
341	479	922
342	480	919
343	481	917
344	482	915
345	483	913
346	484	911
347	485	908
348	486	906
349	487	904
350	487	902
351	488	900
352	490	898
353	491	897
354	492	895
355	494	893
356	495	892
357	496	891
358	498	889
359	499	887
360	500	885
361	501	883
362	502	881
363	503	879
364	504	877
365	505	875
366	506	873
367	507	871
368	508	869
369	509	867
370	510	865
371	511	864
372	512	862
373	513	860
374	514	858
375	515	856
376	517	854
377	518	852
378	519	850
379	520	848
380	520	846
381	522	845
382	523	843
383	524	841
384	525	840
385	527	838
386	528	836
387	529	835
388	530	833
389	531	831
390	532	829
391	533	827
392	534	825
393	535	823
394	536	822
395	537	820
396	538	818
397	539	816
398	541	815
399	542	813
400	543	811
401	544	809
402	545	807
403	546	805
404	547	803
405	547	801
406	548	799
407	549	797
408	550	796
409	551	794
410	552	792
411	554	791
412	555	789
413	556	787
414	556	784
415	557	782
416	558	780
417	559	778
418	560	776
419	561	775
420	562	773
421	563	771
422	564	769
423	565	767
424	566	765
425	567	764
426	568	762
427	569	760
428	570	758
429	570	756
430	571	754
431	572	753
432	573	751
433	574	749
434	575	747
435	576	745
436	577	743
437	578	741
438	578	739
439	579	738
440	580	736
441	581	734
442	582	732
443	583	731
444	585	729
445	585	727
446	586	726
447	587	724
448	588	722
449	589	720
450	590	718
451	591	717
452	592	715
453	593	713
454	594	711
455	595	710
456	596	708
457	596	706
458	597	704
459	598	703
460	600	701
461	601	699
462	602	698
463	603	696
464	604	694
465	604	693
466	605	691
467	606	689
468	607	688
469	608	686
470	609	684
471	610	682
472	611	681
473	612	679
474	613	678
475	614	676
476	615	674
477	616	673
478	617	671
479	619	671
480	620	669
481	621	668
482	622	666
483	623	665
484	624	663
485	625	661
486	626	660
487	627	658
488	628	656
489	629	655
490	630	653
491	631	652
492	632	650
493	633	649
494	634	647
495	635	645
496	636	644
497	637	642
498	638	641
499	639	639
500	640	638
501	641	636
502	642	634
503	643	633
504	644	631
505	645	630
506	646	628
507	647	626
508	648	625
509	649	623
510	650	622
511	651	620
512	652	619
513	653	617
514	654	615
515	655	614
516	656	613
517	657	611
518	658	610
519	659	608
520	660	607
521	661	605
522	662	604
523	663	602
524	664	601
525	665	599
526	666	598
527	667	596
528	668	595
529	669	593
530	670	592
531	671	590
532	672	588
533	673	587
534	674	585
535	675	584
536	676	583
537	677	581
538	678	579
539	679	578
540	680	577
541	681	575
542	682	574
543	683	572
544	684	571
545	685	569
546	685	568
547	687	566
548	688	565
549	689	563
550	689	562
551	690	560
552	691	559
553	692	557
554	693	556
555	694	554
556	695	553
557	696	551
558	697	550
559	698	548
560	699	547
561	700	546
562	701	544
563	702	543
564	703	541
565	704	540
566	705	538
567	706	537
568	707	535
569	708	534
570	709	532
571	710	531
572	711	530
573	712	528
574	713	527
575	714	526
576	715	524
577	716	523
578	717	521
579	718	520
580	719	519
581	720	517
582	721	516
583	722	514
584	723	513
585	724	512
586	725	510
587	726	509
588	727	507
589	728	506
590	729	504
591	730	503
592	731	502
593	732	500
594	733	499
595	734	497
596	735	496
597	736	494
598	737	493
599	738	492
600	739	490
601	740	489
602	740	487
603	741	486
604	742	485
605	743	483
606	744	482
607	745	480
608	746	479
609	747	477
610	748	476
611	749	475
612	750	473
613	751	472
614	752	470
615	753	469
616	754	468
617	755	466
618	756	465
619	757	464
620	758	462
621	759	461
622	759	459
623	760	458
624	761	457
625	763	455
626	763	454
627	764	453
628	765	451
629	766	450
630	767	449
631	768	447
632	769	446
633	770	444
634	771	443
635	772	442
636	773	440
637	774	439
638	775	438
639	776	436
640	777	435
641	778	434
642	779	432
643	780	431
644	781	430
645	782	428
646	783	427
647	784	426
648	785	424
649	786	423
650	787	422
651	788	420
652	789	419
653	790	418
654	791	416
655	792	415
656	793	414
657	794	412
658	795	411
659	796	410
660	797	408
661	798	407
662	799	406
663	800	405
664	801	403
665	802	402
666	803	401
667	804	399
668	805	398
669	806	397
670	807	395
671	808	394
672	809	393
673	810	391
674	811	390
675	812	389
676	813	387
677	814	386
678	815	385
679	816	384
680	817	382
681	818	381
682	819	380
683	820	378
684	821	377
685	822	376
686	823	374
687	824	373
688	825	372
689	825	371
690	826	369
691	827	368
692	828	367
693	829	365
694	830	364
695	831	363
696	832	362
697	833	360
698	834	359
699	835	358
700	836	356
701	837	355
702	839	354
703	840	353
704	841	352
705	841	350
706	842	349
707	843	347
708	844	346
709	845	345
710	846	344
711	847	342
712	848	341
713	849	340
714	850	339
715	851	337
716	852	336
717	853	335
718	854	334
719	856	332
720	857	331
721	858	330
722	859	329
723	860	327
724	861	326
725	862	325
726	863	324
727	864	322
728	865	321
729	866	320
730	867	319
731	868	317
732	869	316
733	870	315
734	871	314
735	872	312
736	873	311
737	874	310
738	875	309
739	876	307
740	877	306
741	878	305
742	879	304
743	880	302
744	881	301
745	882	300
746	883	299
747	884	297
748	885	296
749	886	295
750	886	294
751	887	292
752	888	291
753	889	290
754	890	289
755	891	287
756	893	286
757	894	285
758	895	284
759	896	282
760	897	281
761	898	280
762	899	279
763	900	278
764	901	276
765	902	275
766	903	274
767	903	273
768	905	271
769	906	270
770	907	269
771	907	268
772	908	266
773	909	265
774	910	264
775	911	263
776	912	261
777	913	260
778	914	259
779	915	258
780	916	257
781	917	255
782	918	254
783	919	253
784	920	252
785	921	250
786	922	249
787	924	248
788	925	247
789	926	246
790	927	245
791	928	243
792	929	242
793	930	241
794	931	240
795	932	238
796	933	237
797	934	236
798	935	235
799	936	234
800	937	232
801	938	231
802	939	230
803	940	229
804	940	227
805	941	226
806	942	225
807	943	224
808	944	223
809	945	221
810	946	220
811	947	219
812	948	218
813	949	216
814	950	215
815	951	214
816	952	213
817	952	212
818	953	210
819	954	209
820	955	208
821	956	207
822	957	205
823	958	204
824	959	203
825	960	202
826	961	201
827	962	199
828	963	198
829	964	197
830	965	196
831	966	195
832	967	193
833	968	192
834	969	191
835	970	190
836	970	189
837	972	187
838	973	186
839	974	185
840	975	184
841	976	183
842	977	182
843	978	180
844	979	179
845	980	178
846	981	177
847	982	176
848	983	174
849	985	173
850	985	172
851	987	171
852	988	170
853	989	169
854	990	167
855	991	166
856	992	165
857	993	164
858	994	163
